Country,ISO Code,Year,Population,GDP ISD,Biofuel Electricity kWh,Biofuel Share Elec %,Carbon Intensity Elec gCO₂e/kWh,Coal Electricity kWh,Coal Share Elec %,Electricity Demand kWh,Electricity Generation kWh,Electricity Share Energy %,Fossil Elec Per Capita kWh,Fossil Electricity kWh,Fossil Share Elec %,Gas Electricity kWh,Gas Share Elec %,Hydro Electricity kWh,Hydro Share Elec %,Low Carbon Elec Per Capita kWh,Low Carbon Electricity kWh,Low Carbon Share Elec %,Nuclear Electricity kWh,Nuclear Share Elec %,Oil Electricity kWh,Oil Share Elec %,Other Renewable Electricity kWh,Other Renewable Exc Biofuel Electricity kWh,Other Renewables Elec Per Capita kWh,Other Renewables Elec Per Capita Exc Biofuel kWh,Other Renewables Share Elec %,Other Renewables Share Elec Exc Biofuel %,Per Capita Electricity kWh,Renewables Elec Per Capita kWh,Renewables Electricity kWh,Renewables Share Elec %,Solar Electricity kWh,Solar Share Elec %,Wind Electricity kWh,Wind Share Elec %
Austria,AUT,2023,8958961.0,398815395840.0,3.57,5.332,110.812,0.06,0.09,67.56,66.96,22.963,1159.733,10.39,15.517,7.17,10.708,39.79,59.424,6314.348,56.57,84.483,0.0,0.0,3.16,4.719,3.57,0.0,398.484,0.0,5.332,0.0,7474.081,6314.348,56.57,84.483,5.16,7.706,8.05,12.022
Azerbaijan,AZE,2022,10358078.0,175370551296.0,0.1,0.346,671.389,0.0,0.0,26.08,28.94,13.963,2616.315,27.1,93.642,27.01,93.331,1.6,5.529,177.639,1.84,6.358,0.0,0.0,0.09,0.311,0.1,0.0,9.654,0.0,0.346,0.0,2793.955,177.639,1.84,6.358,0.06,0.207,0.08,0.276
Bahamas,BHS,2022,409989.0,,0.0,0.0,660.099,0.0,0.0,2.03,2.03,,4951.353,2.03,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4951.353,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahrain,BHR,2022,1472237.0,58769760256.0,0.0,0.0,904.615,0.0,0.0,35.58,35.54,,24133.342,35.53,99.972,35.53,99.972,0.0,0.0,6.792,0.01,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24140.135,6.792,0.01,0.028,0.01,0.028,0.0,0.0
Bangladesh,BGD,2023,172954320.0,858143916032.0,0.0,0.0,691.411,14.81,14.504,118.85,102.11,20.224,581.483,100.57,98.492,71.32,69.846,0.71,0.695,8.904,1.54,1.508,0.0,0.0,14.44,14.142,0.0,0.0,0.0,0.0,0.0,0.0,590.387,8.904,1.54,1.508,0.82,0.803,0.01,0.01
Barbados,BRB,2022,281646.0,3408005888.0,0.0,0.0,605.505,0.0,0.0,1.09,1.09,,3586.062,1.01,92.661,0.03,2.752,0.0,0.0,284.044,0.08,7.339,0.0,0.0,0.98,89.908,0.0,0.0,0.0,0.0,0.0,0.0,3870.106,284.044,0.08,7.339,0.08,7.339,0.0,0.0
Belarus,BLR,2022,9534956.0,175773810688.0,0.56,1.45,441.74,0.03,0.078,38.23,38.62,13.552,3422.145,32.63,84.49,30.71,79.518,0.39,1.01,628.215,5.99,15.51,4.68,12.118,1.89,4.894,0.56,0.0,58.731,0.0,1.45,0.0,4050.36,137.389,1.31,3.392,0.17,0.44,0.19,0.492
Belgium,BEL,2023,11686148.0,489678405632.0,3.93,4.769,138.107,0.05,0.061,83.97,82.4,15.015,1860.322,21.74,26.383,17.2,20.874,0.38,0.461,5190.761,60.66,73.617,33.42,40.558,4.49,5.449,3.93,0.0,336.296,0.0,4.769,0.0,7051.083,2330.965,27.24,33.058,7.66,9.296,15.27,18.532
Belize,BLZ,2022,405285.0,,0.16,51.613,225.806,0.0,0.0,0.59,0.31,,148.044,0.06,19.355,0.0,0.0,0.08,25.806,616.85,0.25,80.645,0.0,0.0,0.06,19.355,0.16,0.0,394.784,0.0,51.613,0.0,764.894,616.85,0.25,80.645,0.01,3.226,0.0,0.0
Benin,BEN,2022,13352864.0,33290362880.0,0.0,0.0,584.071,0.0,0.0,1.82,1.13,,83.128,1.11,98.23,0.89,78.761,0.0,0.0,1.498,0.02,1.77,0.0,0.0,0.22,19.469,0.0,0.0,0.0,0.0,0.0,0.0,84.626,1.498,0.02,1.77,0.02,1.77,0.0,0.0
